Herrera,Héctor,Atlético Madrid
CM,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,14
NON_PEN_XG,0.10,79
TOTAL_SHOTS,1.58,86
ASSISTS,0.14,82
XA,0.06,41
NON_PEN_XG+XA,0.16,62
SHOT_CREATIONS,2.01,60
PASSES_ATTEMPTED,82.40,96
PASS_COMPLETION_PERCENTAGE,90.4,95
PROGRESSIVE_PASSES,7.60,98
PROGRESSIVE CARRIES,8.31,97
DRIBBLES_COMPLETED,1.00,67
TOUCHES_IN_AREA,1.72,78
PROGRESSIVE_PASSES_RECIEVED,1.29,34
PRESSURES,20.35,72
TACKLES,2.58,70
INTERCEPTIONS,0.86,7
BLOCKS,1.58,53
CLEARANCES,2.15,86
AERIAL_DUELS_WON,2.15,87
