Pérez,Nehuén,Atlético Madrid
DF,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.09,94
TOTAL_SHOTS,0.67,77
ASSISTS,0.00,28
XA,0.01,32
NON_PEN_XG+XA,0.10,88
SHOT_CREATIONS,0.33,17
PASSES_ATTEMPTED,29.58,2
PASS_COMPLETION_PERCENTAGE,77.2,5
PROGRESSIVE_PASSES,0.75,1
PROGRESSIVE CARRIES,2.00,34
DRIBBLES_COMPLETED,0.17,37
TOUCHES_IN_AREA,0.83,55
PROGRESSIVE_PASSES_RECIEVED,0.00,3
PRESSURES,10.25,69
TACKLES,1.92,75
INTERCEPTIONS,1.50,31
BLOCKS,1.75,60
CLEARANCES,5.08,53
AERIAL_DUELS_WON,2.17,34
