Cunha,Matheus,Atlético Madrid
FW,MF,WF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.22,54
NON_PEN_XG,0.35,90
TOTAL_SHOTS,3.02,91
ASSISTS,0.22,65
XA,0.19,59
NON_PEN_XG+XA,0.53,80
SHOT_CREATIONS,4.45,85
PASSES_ATTEMPTED,28.17,9
PASS_COMPLETION_PERCENTAGE,65.5,7
PROGRESSIVE_PASSES,2.58,28
PROGRESSIVE CARRIES,5.44,37
DRIBBLES_COMPLETED,2.75,91
TOUCHES_IN_AREA,4.72,68
PROGRESSIVE_PASSES_RECIEVED,6.15,48
PRESSURES,21.91,93
TACKLES,1.81,78
INTERCEPTIONS,1.26,80
BLOCKS,1.37,67
CLEARANCES,0.60,59
AERIAL_DUELS_WON,0.82,65
