María Giménez,José,Atlético Madrid
CB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.05,52
TOTAL_SHOTS,0.79,86
ASSISTS,0.00,28
XA,0.01,26
NON_PEN_XG+XA,0.05,36
SHOT_CREATIONS,0.30,12
PASSES_ATTEMPTED,49.40,39
PASS_COMPLETION_PERCENTAGE,88.7,69
PROGRESSIVE_PASSES,2.53,47
PROGRESSIVE CARRIES,2.33,42
DRIBBLES_COMPLETED,0.16,35
TOUCHES_IN_AREA,1.35,90
PROGRESSIVE_PASSES_RECIEVED,0.20,64
PRESSURES,6.57,16
TACKLES,1.15,22
INTERCEPTIONS,1.08,5
BLOCKS,1.45,27
CLEARANCES,4.66,41
AERIAL_DUELS_WON,2.99,66
