Hermoso,Mario,Atlético Madrid
LCB,CB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.03,35
NON_PEN_XG,0.04,39
TOTAL_SHOTS,0.65,75
ASSISTS,0.03,59
XA,0.02,71
NON_PEN_XG+XA,0.06,50
SHOT_CREATIONS,0.96,88
PASSES_ATTEMPTED,62.11,74
PASS_COMPLETION_PERCENTAGE,84.0,32
PROGRESSIVE_PASSES,4.33,90
PROGRESSIVE CARRIES,4.12,81
DRIBBLES_COMPLETED,0.34,77
TOUCHES_IN_AREA,0.83,54
PROGRESSIVE_PASSES_RECIEVED,0.62,94
PRESSURES,9.57,61
TACKLES,2.02,77
INTERCEPTIONS,1.61,43
BLOCKS,1.53,38
CLEARANCES,3.08,5
AERIAL_DUELS_WON,1.89,18
