De Paul,Rodrigo,Atlético Madrid
CM,WM,FW
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.13,83
NON_PEN_XG,0.12,85
TOTAL_SHOTS,1.90,96
ASSISTS,0.23,94
XA,0.24,99
NON_PEN_XG+XA,0.37,97
SHOT_CREATIONS,3.93,97
PASSES_ATTEMPTED,57.85,70
PASS_COMPLETION_PERCENTAGE,75.5,7
PROGRESSIVE_PASSES,7.21,97
PROGRESSIVE CARRIES,8.49,98
DRIBBLES_COMPLETED,2.39,99
TOUCHES_IN_AREA,1.54,73
PROGRESSIVE_PASSES_RECIEVED,3.69,90
PRESSURES,17.14,38
TACKLES,1.67,21
INTERCEPTIONS,0.82,7
BLOCKS,1.62,57
CLEARANCES,0.92,19
AERIAL_DUELS_WON,0.23,1
