Felipe,,Atlético Madrid
CB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.03,44
NON_PEN_XG,0.03,29
TOTAL_SHOTS,0.52,56
ASSISTS,0.03,69
XA,0.02,61
NON_PEN_XG+XA,0.05,32
SHOT_CREATIONS,0.35,19
PASSES_ATTEMPTED,45.16,25
PASS_COMPLETION_PERCENTAGE,86.2,45
PROGRESSIVE_PASSES,2.01,25
PROGRESSIVE CARRIES,1.39,18
DRIBBLES_COMPLETED,0.21,50
TOUCHES_IN_AREA,0.94,66
PROGRESSIVE_PASSES_RECIEVED,0.14,47
PRESSURES,8.32,44
TACKLES,1.46,49
INTERCEPTIONS,1.70,48
BLOCKS,1.49,33
CLEARANCES,6.21,83
AERIAL_DUELS_WON,3.85,91
