Suárez,Luis,Atlético Madrid
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.50,79
NON_PEN_XG,0.40,67
TOTAL_SHOTS,2.69,67
ASSISTS,0.08,29
XA,0.10,41
NON_PEN_XG+XA,0.50,57
SHOT_CREATIONS,2.03,38
PASSES_ATTEMPTED,21.99,42
PASS_COMPLETION_PERCENTAGE,72.1,47
PROGRESSIVE_PASSES,1.26,36
PROGRESSIVE CARRIES,1.92,26
DRIBBLES_COMPLETED,0.34,7
TOUCHES_IN_AREA,6.03,77
PROGRESSIVE_PASSES_RECIEVED,7.53,50
PRESSURES,5.95,1
TACKLES,0.42,21
INTERCEPTIONS,0.13,3
BLOCKS,0.40,5
CLEARANCES,0.45,32
AERIAL_DUELS_WON,1.16,29
