Trippier,Kieran,Atlético Madrid
RB,DF,MF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,18
NON_PEN_XG,0.01,4
TOTAL_SHOTS,0.15,4
ASSISTS,0.11,65
XA,0.10,69
NON_PEN_XG+XA,0.11,42
SHOT_CREATIONS,2.22,78
PASSES_ATTEMPTED,65.70,87
PASS_COMPLETION_PERCENTAGE,77.8,54
PROGRESSIVE_PASSES,7.55,99
PROGRESSIVE CARRIES,3.01,14
DRIBBLES_COMPLETED,0.65,41
TOUCHES_IN_AREA,0.58,11
PROGRESSIVE_PASSES_RECIEVED,2.54,68
PRESSURES,11.95,40
TACKLES,2.18,59
INTERCEPTIONS,1.20,19
BLOCKS,1.85,50
CLEARANCES,2.11,38
AERIAL_DUELS_WON,2.14,92
