Vrsaljko,Šime,Atlético Madrid
CB,RB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.11,84
NON_PEN_XG,0.08,87
TOTAL_SHOTS,0.32,20
ASSISTS,0.11,63
XA,0.03,10
NON_PEN_XG+XA,0.12,49
SHOT_CREATIONS,0.84,5
PASSES_ATTEMPTED,54.40,60
PASS_COMPLETION_PERCENTAGE,68.5,6
PROGRESSIVE_PASSES,3.99,65
PROGRESSIVE CARRIES,4.20,41
DRIBBLES_COMPLETED,0.32,8
TOUCHES_IN_AREA,0.53,8
PROGRESSIVE_PASSES_RECIEVED,2.10,52
PRESSURES,12.08,43
TACKLES,3.05,89
INTERCEPTIONS,1.47,38
BLOCKS,2.21,77
CLEARANCES,4.52,99
AERIAL_DUELS_WON,3.99,99
