Pogba,Paul,Manchester Utd
CM,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.14,86
NON_PEN_XG,0.14,92
TOTAL_SHOTS,1.89,95
ASSISTS,0.39,99
XA,0.13,87
NON_PEN_XG+XA,0.27,90
SHOT_CREATIONS,3.43,96
PASSES_ATTEMPTED,62.30,78
PASS_COMPLETION_PERCENTAGE,83.6,49
PROGRESSIVE_PASSES,5.57,84
PROGRESSIVE CARRIES,7.04,93
DRIBBLES_COMPLETED,2.07,97
TOUCHES_IN_AREA,3.57,97
PROGRESSIVE_PASSES_RECIEVED,5.04,94
PRESSURES,15.58,24
TACKLES,1.68,23
INTERCEPTIONS,1.51,42
BLOCKS,1.02,9
CLEARANCES,1.96,78
AERIAL_DUELS_WON,2.28,88
