Telles,Alex,Manchester Utd
LB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.07,73
NON_PEN_XG,0.03,45
TOTAL_SHOTS,0.60,52
ASSISTS,0.07,46
XA,0.07,40
NON_PEN_XG+XA,0.10,37
SHOT_CREATIONS,2.28,80
PASSES_ATTEMPTED,62.28,83
PASS_COMPLETION_PERCENTAGE,78.5,59
PROGRESSIVE_PASSES,4.75,82
PROGRESSIVE CARRIES,4.29,43
DRIBBLES_COMPLETED,0.33,9
TOUCHES_IN_AREA,0.40,4
PROGRESSIVE_PASSES_RECIEVED,1.81,37
PRESSURES,10.58,21
TACKLES,1.94,45
INTERCEPTIONS,2.01,80
BLOCKS,2.28,81
CLEARANCES,3.15,84
AERIAL_DUELS_WON,1.61,76
