van de Beek,Donny,Manchester Utd
CM,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.13,83
NON_PEN_XG,0.10,80
TOTAL_SHOTS,0.51,19
ASSISTS,0.13,78
XA,0.22,98
NON_PEN_XG+XA,0.33,96
SHOT_CREATIONS,1.91,56
PASSES_ATTEMPTED,46.21,36
PASS_COMPLETION_PERCENTAGE,84.8,56
PROGRESSIVE_PASSES,2.55,13
PROGRESSIVE CARRIES,3.83,50
DRIBBLES_COMPLETED,1.66,93
TOUCHES_IN_AREA,2.68,91
PROGRESSIVE_PASSES_RECIEVED,3.83,90
PRESSURES,17.62,44
TACKLES,2.81,79
INTERCEPTIONS,1.53,44
BLOCKS,0.89,3
CLEARANCES,1.40,45
AERIAL_DUELS_WON,1.02,46
