Lingard,Jesse,Manchester Utd
FW,AM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.55,97
NON_PEN_XG,0.22,55
TOTAL_SHOTS,2.49,70
ASSISTS,0.28,80
XA,0.13,27
NON_PEN_XG+XA,0.35,41
SHOT_CREATIONS,3.77,72
PASSES_ATTEMPTED,41.93,62
PASS_COMPLETION_PERCENTAGE,82.2,88
PROGRESSIVE_PASSES,3.93,70
PROGRESSIVE CARRIES,7.20,74
DRIBBLES_COMPLETED,1.33,34
TOUCHES_IN_AREA,3.32,35
PROGRESSIVE_PASSES_RECIEVED,4.87,22
PRESSURES,21.60,91
TACKLES,1.05,28
INTERCEPTIONS,0.61,24
BLOCKS,0.44,3
CLEARANCES,0.11,4
AERIAL_DUELS_WON,0.06,1
