Martial,Anthony,Manchester Utd
FW,AM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.26,26
NON_PEN_XG,0.33,44
TOTAL_SHOTS,2.44,53
ASSISTS,0.13,50
XA,0.11,43
NON_PEN_XG+XA,0.44,39
SHOT_CREATIONS,2.44,62
PASSES_ATTEMPTED,30.75,81
PASS_COMPLETION_PERCENTAGE,82.8,96
PROGRESSIVE_PASSES,2.84,88
PROGRESSIVE CARRIES,5.94,90
DRIBBLES_COMPLETED,2.18,95
TOUCHES_IN_AREA,6.60,85
PROGRESSIVE_PASSES_RECIEVED,9.30,85
PRESSURES,9.70,8
TACKLES,0.20,3
INTERCEPTIONS,0.33,38
BLOCKS,1.19,87
CLEARANCES,0.79,67
AERIAL_DUELS_WON,1.12,28
