Wan-Bissaka,Aaron,Manchester Utd
RB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.02,37
NON_PEN_XG,0.02,22
TOTAL_SHOTS,0.21,8
ASSISTS,0.10,62
XA,0.06,31
NON_PEN_XG+XA,0.07,21
SHOT_CREATIONS,1.51,44
PASSES_ATTEMPTED,60.42,80
PASS_COMPLETION_PERCENTAGE,85.9,93
PROGRESSIVE_PASSES,3.26,39
PROGRESSIVE CARRIES,5.93,77
DRIBBLES_COMPLETED,1.57,88
TOUCHES_IN_AREA,1.07,37
PROGRESSIVE_PASSES_RECIEVED,2.21,57
PRESSURES,12.08,44
TACKLES,2.48,72
INTERCEPTIONS,2.27,90
BLOCKS,2.81,97
CLEARANCES,2.97,78
AERIAL_DUELS_WON,1.03,40
