Greenwood,Mason,Manchester Utd
FW,AM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.35,83
NON_PEN_XG,0.29,81
TOTAL_SHOTS,2.68,80
ASSISTS,0.12,24
XA,0.12,17
NON_PEN_XG+XA,0.40,57
SHOT_CREATIONS,2.71,25
PASSES_ATTEMPTED,35.52,35
PASS_COMPLETION_PERCENTAGE,81.7,86
PROGRESSIVE_PASSES,2.42,24
PROGRESSIVE CARRIES,6.89,68
DRIBBLES_COMPLETED,1.67,52
TOUCHES_IN_AREA,5.02,74
PROGRESSIVE_PASSES_RECIEVED,6.80,60
PRESSURES,12.91,19
TACKLES,0.84,14
INTERCEPTIONS,0.49,9
BLOCKS,0.49,4
CLEARANCES,0.32,24
AERIAL_DUELS_WON,0.37,20
