Lindelöf,Victor,Manchester Utd
CB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.02,34
NON_PEN_XG,0.01,8
TOTAL_SHOTS,0.07,1
ASSISTS,0.07,93
XA,0.02,55
NON_PEN_XG+XA,0.03,9
SHOT_CREATIONS,0.35,20
PASSES_ATTEMPTED,59.65,70
PASS_COMPLETION_PERCENTAGE,90.7,84
PROGRESSIVE_PASSES,2.62,51
PROGRESSIVE CARRIES,3.49,73
DRIBBLES_COMPLETED,0.02,3
TOUCHES_IN_AREA,0.22,4
PROGRESSIVE_PASSES_RECIEVED,0.05,13
PRESSURES,6.03,12
TACKLES,0.72,3
INTERCEPTIONS,1.59,43
BLOCKS,1.42,25
CLEARANCES,4.71,42
AERIAL_DUELS_WON,2.29,40
