Fred,,Manchester Utd
FW,AM,DM
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.07,63
NON_PEN_XG,0.07,62
TOTAL_SHOTS,0.86,44
ASSISTS,0.07,57
XA,0.08,64
NON_PEN_XG+XA,0.16,61
SHOT_CREATIONS,2.26,70
PASSES_ATTEMPTED,61.12,76
PASS_COMPLETION_PERCENTAGE,86.9,74
PROGRESSIVE_PASSES,5.02,75
PROGRESSIVE CARRIES,3.66,47
DRIBBLES_COMPLETED,0.61,33
TOUCHES_IN_AREA,0.69,23
PROGRESSIVE_PASSES_RECIEVED,1.30,35
PRESSURES,24.67,93
TACKLES,3.05,87
INTERCEPTIONS,2.09,82
BLOCKS,2.61,99
CLEARANCES,1.35,44
AERIAL_DUELS_WON,0.54,14
