Maguire,Harry,Manchester Utd
LCB,CB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.04,54
NON_PEN_XG,0.07,84
TOTAL_SHOTS,0.90,93
ASSISTS,0.02,57
XA,0.02,62
NON_PEN_XG+XA,0.09,83
SHOT_CREATIONS,0.79,79
PASSES_ATTEMPTED,58.44,66
PASS_COMPLETION_PERCENTAGE,89.8,79
PROGRESSIVE_PASSES,3.15,68
PROGRESSIVE CARRIES,5.12,91
DRIBBLES_COMPLETED,0.15,33
TOUCHES_IN_AREA,1.43,94
PROGRESSIVE_PASSES_RECIEVED,0.15,50
PRESSURES,5.47,5
TACKLES,1.04,15
INTERCEPTIONS,1.79,57
BLOCKS,1.37,19
CLEARANCES,5.54,68
AERIAL_DUELS_WON,3.93,92
