Henderson,Dean,Manchester Utd
GK,GK,
STAT,VALUE,PERCENTILE
POST_SHOT_XG-CONCEDED,+0.06,76
GOALS_CONCEDED,0.75,97
SAVE_PERCENTAGE,78.8,96
POST_SHOT_XG_PER_SHOT_ON_TARGET,0.24,4
CLEAN_SHEET_PERCENTAGE,46.7,95
TOUCHES,30.11,12
LAUNCH_PERCENTAGE,36.2,30
GOAL_KICKS,7.12,40
AVG_GOAL_KICK_DISTANCE,35.0,18
CROSSES_STOPPED_PERCENTAGE,12.8,98
DEFENSIVE_ACTIONS_OUTSIDE_AREA,1.29,94
AVG_DISTANCE_OF_DEFENSIVE_ACTIONS,15.2,77
