Dalot,Diogo,Manchester Utd
FB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.05,62
NON_PEN_XG,0.07,82
TOTAL_SHOTS,0.84,75
ASSISTS,0.05,32
XA,0.07,43
NON_PEN_XG+XA,0.14,64
SHOT_CREATIONS,1.69,52
PASSES_ATTEMPTED,50.91,42
PASS_COMPLETION_PERCENTAGE,76.7,43
PROGRESSIVE_PASSES,4.17,70
PROGRESSIVE CARRIES,5.38,68
DRIBBLES_COMPLETED,0.74,48
TOUCHES_IN_AREA,1.69,65
PROGRESSIVE_PASSES_RECIEVED,1.95,44
PRESSURES,14.09,68
TACKLES,3.01,88
INTERCEPTIONS,1.79,65
BLOCKS,1.64,32
CLEARANCES,3.75,96
AERIAL_DUELS_WON,1.79,84
