Matić, Nemanja,Manchester Utd
CM,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,14
NON_PEN_XG,0.02,8
TOTAL_SHOTS,0.49,16
ASSISTS,0.11,72
XA,0.06,43
NON_PEN_XG+XA,0.08,23
SHOT_CREATIONS,2.02,60
PASSES_ATTEMPTED,75.00,94
PASS_COMPLETION_PERCENTAGE,89.2,90
PROGRESSIVE_PASSES,5.89,88
PROGRESSIVE CARRIES,8.45,98
DRIBBLES_COMPLETED,0.98,66
TOUCHES_IN_AREA,0.49,12
PROGRESSIVE_PASSES_RECIEVED,0.49,5
PRESSURES,14.24,14
TACKLES,1.96,36
INTERCEPTIONS,1.91,75
BLOCKS,2.24,92
CLEARANCES,2.07,83
AERIAL_DUELS_WON,1.64,69
