Cavani,Edinson,Manchester Utd
FW,WM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.68,95
NON_PEN_XG,0.57,94
TOTAL_SHOTS,2.39,49
ASSISTS,0.20,76
XA,0.14,61
NON_PEN_XG+XA,0.71,93
SHOT_CREATIONS,2.10,42
PASSES_ATTEMPTED,22.87,48
PASS_COMPLETION_PERCENTAGE,79.9,88
PROGRESSIVE_PASSES,1.27,37
PROGRESSIVE CARRIES,1.03,4
DRIBBLES_COMPLETED,0.49,13
TOUCHES_IN_AREA,5.18,53
PROGRESSIVE_PASSES_RECIEVED,6.55,32
PRESSURES,14.56,50
TACKLES,1.17,85
INTERCEPTIONS,0.78,94
BLOCKS,0.59,28
CLEARANCES,0.59,45
AERIAL_DUELS_WON,0.54,7
