de Gea,David,Manchester Utd
GK,GK,
STAT,VALUE,PERCENTILE
POST_SHOT_XG-CONCEDED,+0.20,94
GOALS_CONCEDED,1.25,63
SAVE_PERCENTAGE,71.0,65
POST_SHOT_XG_PER_SHOT_ON_TARGET,0.32,76
PENALTY_SAVE_PERCENTAGE,60.0,95
CLEAN_SHEET_PERCENTAGE,31.0,66
TOUCHES,26.24,1
LAUNCH_PERCENTAGE,36.6,33
GOAL_KICKS,7.65,56
AVG_GOAL_KICK_DISTANCE,37.4,22
CROSSES_STOPPED_PERCENTAGE,5.1,11
DEFENSIVE_ACTIONS_OUTSIDE_AREA,0.31,4
AVG_DISTANCE_OF_DEFENSIVE_ACTIONS,14.0,34
