Shaw,Luke,Manchester Utd
LB,LM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.02,38
NON_PEN_XG,0.02,30
TOTAL_SHOTS,0.41,30
ASSISTS,0.17,85
XA,0.16,88
NON_PEN_XG+XA,0.18,79
SHOT_CREATIONS,3.80,99
PASSES_ATTEMPTED,66.90,88
PASS_COMPLETION_PERCENTAGE,82.2,78
PROGRESSIVE_PASSES,5.24,90
PROGRESSIVE CARRIES,6.85,87
DRIBBLES_COMPLETED,0.90,58
TOUCHES_IN_AREA,1.92,73
PROGRESSIVE_PASSES_RECIEVED,3.29,84
PRESSURES,11.67,36
TACKLES,1.66,25
INTERCEPTIONS,1.10,10
BLOCKS,2.07,70
CLEARANCES,1.53,17
AERIAL_DUELS_WON,1.39,64
