Delaine,Thomas,Metz
LB,DF,MF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.13,89
NON_PEN_XG,0.05,68
TOTAL_SHOTS,0.86,76
ASSISTS,0.13,71
XA,0.08,52
NON_PEN_XG+XA,0.14,61
SHOT_CREATIONS,1.85,60
PASSES_ATTEMPTED,41.89,10
PASS_COMPLETION_PERCENTAGE,76.6,41
PROGRESSIVE_PASSES,2.28,5
PROGRESSIVE CARRIES,6.53,85
DRIBBLES_COMPLETED,1.12,75
TOUCHES_IN_AREA,1.63,63
PROGRESSIVE_PASSES_RECIEVED,2.28,59
PRESSURES,11.47,31
TACKLES,1.76,33
INTERCEPTIONS,1.16,16
BLOCKS,1.50,21
CLEARANCES,1.25,6
AERIAL_DUELS_WON,0.43,7
