Boulaya,Farid,Metz
FW,MF,WF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.23,57
NON_PEN_XG,0.10,10
TOTAL_SHOTS,1.89,43
ASSISTS,0.31,85
XA,0.23,77
NON_PEN_XG+XA,0.33,38
SHOT_CREATIONS,4.44,84
PASSES_ATTEMPTED,48.24,83
PASS_COMPLETION_PERCENTAGE,67.1,10
PROGRESSIVE_PASSES,4.09,75
PROGRESSIVE CARRIES,6.68,64
DRIBBLES_COMPLETED,1.31,33
TOUCHES_IN_AREA,1.82,5
PROGRESSIVE_PASSES_RECIEVED,3.63,8
PRESSURES,12.67,18
TACKLES,0.93,19
INTERCEPTIONS,0.73,32
BLOCKS,1.08,39
CLEARANCES,0.35,27
AERIAL_DUELS_WON,0.70,53
