Centonze,Fabien,Metz
RB,DF,MF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.13,90
NON_PEN_XG,0.05,65
TOTAL_SHOTS,0.90,80
ASSISTS,0.03,17
XA,0.03,10
NON_PEN_XG+XA,0.08,24
SHOT_CREATIONS,1.43,37
PASSES_ATTEMPTED,49.06,32
PASS_COMPLETION_PERCENTAGE,79.7,65
PROGRESSIVE_PASSES,2.67,14
PROGRESSIVE CARRIES,6.91,88
DRIBBLES_COMPLETED,1.96,95
TOUCHES_IN_AREA,1.09,38
PROGRESSIVE_PASSES_RECIEVED,1.80,37
PRESSURES,13.73,65
TACKLES,2.83,84
INTERCEPTIONS,2.33,91
BLOCKS,2.51,90
CLEARANCES,3.55,93
AERIAL_DUELS_WON,1.32,60
