Gonçalves,Vagner,Metz
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.20,12
NON_PEN_XG,0.27,25
TOTAL_SHOTS,1.80,14
ASSISTS,0.10,39
XA,0.14,60
NON_PEN_XG+XA,0.41,33
SHOT_CREATIONS,3.40,88
PASSES_ATTEMPTED,24.83,58
PASS_COMPLETION_PERCENTAGE,74.2,60
PROGRESSIVE_PASSES,1.90,70
PROGRESSIVE CARRIES,2.60,46
DRIBBLES_COMPLETED,1.30,70
TOUCHES_IN_AREA,3.10,2
PROGRESSIVE_PASSES_RECIEVED,6.21,21
PRESSURES,15.92,64
TACKLES,1.10,80
INTERCEPTIONS,0.40,51
BLOCKS,1.00,77
CLEARANCES,0.20,9
AERIAL_DUELS_WON,1.10,28
