Traoré,Boubacar,Metz
MF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.18,92
NON_PEN_XG,0.04,26
TOTAL_SHOTS,1.26,76
ASSISTS,0.00,11
XA,0.02,8
NON_PEN_XG+XA,0.05,12
SHOT_CREATIONS,1.62,40
PASSES_ATTEMPTED,49.94,48
PASS_COMPLETION_PERCENTAGE,79.9,26
PROGRESSIVE_PASSES,3.59,44
PROGRESSIVE CARRIES,5.75,85
DRIBBLES_COMPLETED,1.26,83
TOUCHES_IN_AREA,0.18,1
PROGRESSIVE_PASSES_RECIEVED,1.62,48
PRESSURES,26.95,98
TACKLES,2.16,47
INTERCEPTIONS,1.62,52
BLOCKS,1.80,70
CLEARANCES,0.90,19
AERIAL_DUELS_WON,0.90,37
