Ndiaga Yade,Papa,Metz
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.17,35
NON_PEN_XG,0.11,11
TOTAL_SHOTS,2.28,65
ASSISTS,0.17,44
XA,0.15,40
NON_PEN_XG+XA,0.26,16
SHOT_CREATIONS,3.03,41
PASSES_ATTEMPTED,28.23,9
PASS_COMPLETION_PERCENTAGE,70.1,19
PROGRESSIVE_PASSES,1.85,9
PROGRESSIVE CARRIES,6.32,57
DRIBBLES_COMPLETED,2.78,91
TOUCHES_IN_AREA,2.36,10
PROGRESSIVE_PASSES_RECIEVED,4.63,17
PRESSURES,14.75,39
TACKLES,1.60,68
INTERCEPTIONS,1.01,61
BLOCKS,0.76,10
CLEARANCES,0.59,59
AERIAL_DUELS_WON,1.52,90
