de Préville,Nicolas,Metz
FW,AM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.26,60
NON_PEN_XG,0.25,69
TOTAL_SHOTS,2.44,70
ASSISTS,0.10,20
XA,0.15,37
NON_PEN_XG+XA,0.39,55
SHOT_CREATIONS,2.85,34
PASSES_ATTEMPTED,30.73,21
PASS_COMPLETION_PERCENTAGE,67.8,12
PROGRESSIVE_PASSES,1.97,13
PROGRESSIVE CARRIES,4.35,14
DRIBBLES_COMPLETED,1.35,34
TOUCHES_IN_AREA,3.78,47
PROGRESSIVE_PASSES_RECIEVED,5.80,41
PRESSURES,16.22,53
TACKLES,1.09,30
INTERCEPTIONS,0.62,25
BLOCKS,1.14,46
CLEARANCES,0.21,13
AERIAL_DUELS_WON,2.54,98
