Alakouch,Sofiane,Metz
RB,DF,MF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,18
NON_PEN_XG,0.01,11
TOTAL_SHOTS,0.35,22
ASSISTS,0.12,68
XA,0.07,44
NON_PEN_XG+XA,0.08,25
SHOT_CREATIONS,0.94,7
PASSES_ATTEMPTED,55.49,63
PASS_COMPLETION_PERCENTAGE,80.0,67
PROGRESSIVE_PASSES,3.75,56
PROGRESSIVE CARRIES,3.93,33
DRIBBLES_COMPLETED,1.23,77
TOUCHES_IN_AREA,0.70,17
PROGRESSIVE_PASSES_RECIEVED,1.17,17
PRESSURES,17.70,92
TACKLES,3.93,98
INTERCEPTIONS,2.17,86
BLOCKS,2.17,74
CLEARANCES,2.75,71
AERIAL_DUELS_WON,0.64,17
