Oukidja,Alexandre,Metz
GK,GK,
STAT,VALUE,PERCENTILE
POST_SHOT_XG-CONCEDED,-0.06,41
GOALS_CONCEDED,1.64,26
SAVE_PERCENTAGE,64.2,23
POST_SHOT_XG_PER_SHOT_ON_TARGET,0.32,76
PENALTY_SAVE_PERCENTAGE,0.0,25
CLEAN_SHEET_PERCENTAGE,19.4,32
TOUCHES,31.12,15
LAUNCH_PERCENTAGE,53.6,80
GOAL_KICKS,7.84,64
AVG_GOAL_KICK_DISTANCE,54.7,83
CROSSES_STOPPED_PERCENTAGE,11.2,95
DEFENSIVE_ACTIONS_OUTSIDE_AREA,1.06,91
AVG_DISTANCE_OF_DEFENSIVE_ACTIONS,16.4,91
