Javier Suárez,Luis,Granada
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.21,17
NON_PEN_XG,0.31,34
TOTAL_SHOTS,2.39,48
ASSISTS,0.04,13
XA,0.06,15
NON_PEN_XG+XA,0.37,24
SHOT_CREATIONS,2.25,52
PASSES_ATTEMPTED,18.12,16
PASS_COMPLETION_PERCENTAGE,63.2,7
PROGRESSIVE_PASSES,1.36,43
PROGRESSIVE CARRIES,3.71,73
DRIBBLES_COMPLETED,1.03,56
TOUCHES_IN_AREA,4.07,13
PROGRESSIVE_PASSES_RECIEVED,6.24,22
PRESSURES,13.45,38
TACKLES,0.78,60
INTERCEPTIONS,0.36,45
BLOCKS,0.75,51
CLEARANCES,0.57,43
AERIAL_DUELS_WON,1.64,48
