Puertas,Antonio,Granada
FW,AM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.17,35
NON_PEN_XG,0.13,18
TOTAL_SHOTS,1.08,5
ASSISTS,0.13,29
XA,0.06,1
NON_PEN_XG+XA,0.20,5
SHOT_CREATIONS,1.95,5
PASSES_ATTEMPTED,27.34,8
PASS_COMPLETION_PERCENTAGE,68.3,14
PROGRESSIVE_PASSES,2.02,14
PROGRESSIVE CARRIES,4.04,9
DRIBBLES_COMPLETED,1.48,42
TOUCHES_IN_AREA,2.69,19
PROGRESSIVE_PASSES_RECIEVED,4.94,24
PRESSURES,13.45,26
TACKLES,1.08,29
INTERCEPTIONS,0.74,33
BLOCKS,1.51,77
CLEARANCES,0.77,77
AERIAL_DUELS_WON,2.09,95
