Machís,Darwin,Granada
LAM,AM,LW
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.14,24
NON_PEN_XG,0.14,21
TOTAL_SHOTS,1.96,50
ASSISTS,0.14,32
XA,0.14,35
NON_PEN_XG+XA,0.28,21
SHOT_CREATIONS,2.33,12
PASSES_ATTEMPTED,25.03,4
PASS_COMPLETION_PERCENTAGE,63.5,4
PROGRESSIVE_PASSES,1.72,5
PROGRESSIVE CARRIES,5.97,51
DRIBBLES_COMPLETED,2.24,76
TOUCHES_IN_AREA,2.89,22
PROGRESSIVE_PASSES_RECIEVED,3.96,9
PRESSURES,13.19,23
TACKLES,1.77,77
INTERCEPTIONS,1.68,96
BLOCKS,1.07,37
CLEARANCES,0.89,84
AERIAL_DUELS_WON,0.47,30
