Escandell,Aarón,Granada
GK,GK,
STAT,VALUE,PERCENTILE
POST_SHOT_XG-CONCEDED,-0.06,42
GOALS_CONCEDED,1.72,19
SAVE_PERCENTAGE,68.4,47
POST_SHOT_XG_PER_SHOT_ON_TARGET,0.34,92
PENALTY_SAVE_PERCENTAGE,0.0,25
CLEAN_SHEET_PERCENTAGE,25.0,49
TOUCHES,38.26,70
LAUNCH_PERCENTAGE,70.9,95
GOAL_KICKS,8.58,89
AVG_GOAL_KICK_DISTANCE,59.1,90
CROSSES_STOPPED_PERCENTAGE,7.0,45
DEFENSIVE_ACTIONS_OUTSIDE_AREA,2.33,99
AVG_DISTANCE_OF_DEFENSIVE_ACTIONS,16.6,92
