Gonalons,Maxime,Granada
CM,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,14
NON_PEN_XG,0.02,7
TOTAL_SHOTS,0.40,10
ASSISTS,0.04,33
XA,0.02,13
NON_PEN_XG+XA,0.04,5
SHOT_CREATIONS,1.01,9
PASSES_ATTEMPTED,38.77,19
PASS_COMPLETION_PERCENTAGE,83.9,52
PROGRESSIVE_PASSES,3.39,41
PROGRESSIVE CARRIES,2.54,20
DRIBBLES_COMPLETED,0.89,59
TOUCHES_IN_AREA,0.64,22
PROGRESSIVE_PASSES_RECIEVED,0.36,1
PRESSURES,18.54,51
TACKLES,3.18,89
INTERCEPTIONS,1.69,58
BLOCKS,1.49,46
CLEARANCES,1.81,72
AERIAL_DUELS_WON,1.89,78
