Duarte,Domingos,Granada
RCB,CB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.03,44
NON_PEN_XG,0.03,33
TOTAL_SHOTS,0.31,19
ASSISTS,0.00,28
XA,0.01,40
NON_PEN_XG+XA,0.04,27
SHOT_CREATIONS,0.38,24
PASSES_ATTEMPTED,33.80,4
PASS_COMPLETION_PERCENTAGE,80.9,13
PROGRESSIVE_PASSES,2.57,50
PROGRESSIVE CARRIES,1.51,21
DRIBBLES_COMPLETED,0.10,18
TOUCHES_IN_AREA,0.48,15
PROGRESSIVE_PASSES_RECIEVED,0.03,8
PRESSURES,5.31,3
TACKLES,1.10,18
INTERCEPTIONS,1.47,29
BLOCKS,1.78,62
CLEARANCES,5.27,60
AERIAL_DUELS_WON,1.99,21
