Montoro,Ángel,Granada
DM,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.08,65
NON_PEN_XG,0.05,34
TOTAL_SHOTS,0.95,51
ASSISTS,0.04,30
XA,0.10,77
NON_PEN_XG+XA,0.15,58
SHOT_CREATIONS,2.51,78
PASSES_ATTEMPTED,47.64,40
PASS_COMPLETION_PERCENTAGE,72.9,4
PROGRESSIVE_PASSES,4.52,68
PROGRESSIVE CARRIES,2.24,15
DRIBBLES_COMPLETED,0.30,8
TOUCHES_IN_AREA,0.61,20
PROGRESSIVE_PASSES_RECIEVED,1.52,43
PRESSURES,14.58,16
TACKLES,1.63,18
INTERCEPTIONS,0.87,8
BLOCKS,1.25,22
CLEARANCES,1.67,62
AERIAL_DUELS_WON,0.68,22
