Pina Isla,Tomás,Alavés
CM,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,14
NON_PEN_XG,0.02,11
TOTAL_SHOTS,0.40,11
ASSISTS,0.04,28
XA,0.02,8
NON_PEN_XG+XA,0.04,6
SHOT_CREATIONS,0.77,4
PASSES_ATTEMPTED,36.18,14
PASS_COMPLETION_PERCENTAGE,83.1,45
PROGRESSIVE_PASSES,3.20,34
PROGRESSIVE CARRIES,2.10,11
DRIBBLES_COMPLETED,0.66,41
TOUCHES_IN_AREA,0.96,43
PROGRESSIVE_PASSES_RECIEVED,0.70,11
PRESSURES,17.08,38
TACKLES,2.02,40
INTERCEPTIONS,1.58,49
BLOCKS,1.51,47
CLEARANCES,1.84,73
AERIAL_DUELS_WON,1.69,72
