Laguardia,Víctor,Alavés
RCB,CB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.06,67
NON_PEN_XG,0.03,32
TOTAL_SHOTS,0.42,40
ASSISTS,0.06,87
XA,0.02,64
NON_PEN_XG+XA,0.05,32
SHOT_CREATIONS,0.33,17
PASSES_ATTEMPTED,40.90,14
PASS_COMPLETION_PERCENTAGE,80.0,10
PROGRESSIVE_PASSES,2.09,29
PROGRESSIVE CARRIES,1.18,14
DRIBBLES_COMPLETED,0.00,1
TOUCHES_IN_AREA,0.67,34
PROGRESSIVE_PASSES_RECIEVED,0.09,29
PRESSURES,5.67,7
TACKLES,0.85,7
INTERCEPTIONS,1.00,4
BLOCKS,1.67,53
CLEARANCES,6.16,83
AERIAL_DUELS_WON,2.70,56
