Joselu,,Alavés
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.29,34
NON_PEN_XG,0.27,23
TOTAL_SHOTS,2.49,54
ASSISTS,0.11,41
XA,0.10,42
NON_PEN_XG+XA,0.37,23
SHOT_CREATIONS,1.71,20
PASSES_ATTEMPTED,31.29,82
PASS_COMPLETION_PERCENTAGE,63.0,7
PROGRESSIVE_PASSES,2.30,78
PROGRESSIVE CARRIES,1.37,9
DRIBBLES_COMPLETED,0.48,12
TOUCHES_IN_AREA,4.88,39
PROGRESSIVE_PASSES_RECIEVED,5.44,13
PRESSURES,14.95,53
TACKLES,0.56,38
INTERCEPTIONS,0.59,79
BLOCKS,0.91,72
CLEARANCES,1.50,98
AERIAL_DUELS_WON,8.09,98
