Lejeune,Florian,Alavés
LCB,CB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.03,40
NON_PEN_XG,0.07,79
TOTAL_SHOTS,0.79,87
ASSISTS,0.03,64
XA,0.01,46
NON_PEN_XG+XA,0.08,73
SHOT_CREATIONS,0.53,49
PASSES_ATTEMPTED,44.37,24
PASS_COMPLETION_PERCENTAGE,83.0,23
PROGRESSIVE_PASSES,1.71,13
PROGRESSIVE CARRIES,1.00,7
DRIBBLES_COMPLETED,0.32,75
TOUCHES_IN_AREA,1.09,78
PROGRESSIVE_PASSES_RECIEVED,0.18,56
PRESSURES,7.65,35
TACKLES,1.35,41
INTERCEPTIONS,1.91,66
BLOCKS,1.38,21
CLEARANCES,6.65,89
AERIAL_DUELS_WON,3.12,71
