"b'Zurkowski, Szymon'",Empoli
CM,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.25,97
NON_PEN_XG,0.12,85
TOTAL_SHOTS,2.23,98
ASSISTS,0.12,77
XA,0.06,45
NON_PEN_XG+XA,0.19,74
SHOT_CREATIONS,2.35,73
PASSES_ATTEMPTED,35.65,12
PASS_COMPLETION_PERCENTAGE,86.5,71
PROGRESSIVE_PASSES,3.22,34
PROGRESSIVE CARRIES,7.55,94
DRIBBLES_COMPLETED,1.86,96
TOUCHES_IN_AREA,2.35,88
PROGRESSIVE_PASSES_RECIEVED,4.33,92
PRESSURES,15.72,25
TACKLES,2.10,44
INTERCEPTIONS,2.48,93
BLOCKS,1.61,56
CLEARANCES,1.11,28
AERIAL_DUELS_WON,1.24,53
