Di Francesco,Federico,Empoli
FW,WM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.36,48
NON_PEN_XG,0.14,2
TOTAL_SHOTS,1.90,17
ASSISTS,0.00,5
XA,0.13,56
NON_PEN_XG+XA,0.27,4
SHOT_CREATIONS,2.96,77
PASSES_ATTEMPTED,26.09,65
PASS_COMPLETION_PERCENTAGE,66.8,16
PROGRESSIVE_PASSES,2.73,87
PROGRESSIVE CARRIES,4.03,78
DRIBBLES_COMPLETED,0.71,26
TOUCHES_IN_AREA,5.10,48
PROGRESSIVE_PASSES_RECIEVED,7.59,53
PRESSURES,17.55,78
TACKLES,1.07,76
INTERCEPTIONS,0.59,79
BLOCKS,1.19,87
CLEARANCES,0.47,33
AERIAL_DUELS_WON,0.24,3
