Bandinelli,Filippo,Empoli
LDM,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.25,97
NON_PEN_XG,0.19,96
TOTAL_SHOTS,2.37,98
ASSISTS,0.12,77
XA,0.11,81
NON_PEN_XG+XA,0.30,93
SHOT_CREATIONS,2.75,84
PASSES_ATTEMPTED,32.95,6
PASS_COMPLETION_PERCENTAGE,74.2,6
PROGRESSIVE_PASSES,4.37,62
PROGRESSIVE CARRIES,5.37,81
DRIBBLES_COMPLETED,1.00,67
TOUCHES_IN_AREA,3.50,97
PROGRESSIVE_PASSES_RECIEVED,4.12,91
PRESSURES,18.60,52
TACKLES,2.00,38
INTERCEPTIONS,1.50,42
BLOCKS,1.37,34
CLEARANCES,1.50,49
AERIAL_DUELS_WON,0.87,35
