Cutrone,Patrick,Empoli
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.19,11
NON_PEN_XG,0.30,31
TOTAL_SHOTS,3.28,85
ASSISTS,0.00,5
XA,0.07,21
NON_PEN_XG+XA,0.37,24
SHOT_CREATIONS,1.40,9
PASSES_ATTEMPTED,17.04,11
PASS_COMPLETION_PERCENTAGE,66.5,15
PROGRESSIVE_PASSES,1.31,39
PROGRESSIVE CARRIES,3.18,60
DRIBBLES_COMPLETED,0.84,35
TOUCHES_IN_AREA,5.99,76
PROGRESSIVE_PASSES_RECIEVED,8.34,65
PRESSURES,14.24,47
TACKLES,0.37,14
INTERCEPTIONS,0.66,82
BLOCKS,0.37,4
CLEARANCES,0.37,26
AERIAL_DUELS_WON,0.56,8
