Luperto,Sebastiano,Empoli
LCB,CB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.04,48
TOTAL_SHOTS,0.39,35
ASSISTS,0.04,75
XA,0.02,61
NON_PEN_XG+XA,0.06,53
SHOT_CREATIONS,0.73,74
PASSES_ATTEMPTED,44.11,22
PASS_COMPLETION_PERCENTAGE,83.2,24
PROGRESSIVE_PASSES,3.28,73
PROGRESSIVE CARRIES,2.25,40
DRIBBLES_COMPLETED,0.22,53
TOUCHES_IN_AREA,0.60,27
PROGRESSIVE_PASSES_RECIEVED,0.13,42
PRESSURES,10.63,73
TACKLES,1.56,56
INTERCEPTIONS,1.56,38
BLOCKS,1.60,46
CLEARANCES,5.92,78
AERIAL_DUELS_WON,1.94,20
